Título,Localización,Fecha,Salario,Formación,Salario_limpio,Salario_min,Salario_max,SalarioPromedio,España,CCAA
Jefe ejecutivo de cocina,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Administrativo recepcionista,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Vigilante de seguridad,Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,14000-17999,14000,17999,16,SI,Castilla la Mancha
Expendedor estación de servicio,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Empleado de hogar interno,Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,30000-33000,30000,33000,32,SI,NA
Técnico de apoyo,Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
Carniceros de comercio - dependientes de carnicería (oficial),España,04/04/2025,45.000 - 48.000,Sin estudios,45000-48000,45000,48000,46,SI,NA
<b>nueva difusión -<-b> 2 puestos docente-instructor competencias digitales (ref.1692),Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
Soldador,Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,14000-17999,14000,17999,16,SI,Comunidad Valenciana
Auxiliar admnistrativo-a,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
