Título,Localización,Fecha,Salario,Formación,Salario_limpio,Salario_min,Salario_max,SalarioPromedio,España,CCAA,Fecha_parsed,Mes,Nivel
Mozo-a almacén,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Albañiles oficiales 1ª categoría,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Enseñanzas de grado medio de formación…,,NA,NA,NA,SI,Galicia,2025-04-04,abril,FP/Bachiller
Conductores para suministro a tiendas y supermercados,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Soldador de mig-mag y tig, alemania",A Coruña - Galicia - España,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Universidad
Tecnico auxiliar de presupuestos tecnicos-ofertas,A Coruña - Galicia - España,04/04/2025,Sin especificar,Enseñanzas de grado medio de formación…,,NA,NA,NA,SI,Galicia,2025-04-04,abril,FP/Bachiller
Peon de obra palma de mallorca,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Auxiliar de enfermería - gerocultor-a con discapacidad - oliana,Sevilla - Andalucia - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Andalucia,2025-04-04,abril,Básico
Auxiliar administrativo,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Programa desarrollo comercial futuros delegados málaga,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Mecánico-a 1ª, 2ª o 3ª maquinaria - ciempozuelos",Lugo - Galicia - España,04/04/2025,Sin especificar,Enseñanzas de grado medio de formación…,,NA,NA,NA,SI,Galicia,2025-04-04,abril,FP/Bachiller
Pintor de coches,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Necesario médico en valdestillas,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Peón albañil,Asturias - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-04,abril,Otros
Técnico en control de plagas y legionella,Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999 Primera etapa de educación secundaria…,NA,14000-17999,14000,17999,16,SI,Comunidad Valenciana,2025-04-04,abril,NA
Se buscan monitores-as escolares,Sevilla - Andalucia - España,04/04/2025,24.000 - 29.999 Primera etapa de educación secundaria…,NA,24000-29999,24000,29999,27,SI,Andalucia,2025-04-04,abril,NA
Personal multiservicios,Lleida - Cataluña - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluna,2025-04-04,abril,Sin estudios
Monitor-a para personas con discapacidad,Alicante - Comunidad Valenciana - España,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Comunidad Valenciana,2025-04-04,abril,Universidad
"Personal de limpieza en locales y oficinas, patios y cristales. en madrid y extrarradio ( alcorcon,…",Alicante - Comunidad Valenciana - España,04/04/2025,Sin especificar,Enseñanzas de bachillerato,,NA,NA,NA,SI,Comunidad Valenciana,2025-04-04,abril,FP/Bachiller
"Editor video, con inglés y dominio de internet",A Coruña - Galicia - España,04/04/2025,Sin especificar,Doctorado universitario.,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Doctorado
Early childhood educators for nurseries in ireland,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Chef en dubai,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Tecnico superior en estetica o auxiliar medicina estetica,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Montador de conductos en valladolid,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Carpintero de madera,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Auxiliar administrativos,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Dependiente dependienta camarer@ horno de pan con degustación,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Técnico laboral para asesoría,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Montador de conductos en león,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Empleados de venta de cupones, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Monitores de educación y tiempo libre,A Coruña - Galicia - España,04/04/2025,Sin especificar,Primera etapa de educación secundaria…,,NA,NA,NA,SI,Galicia,2025-04-04,abril,NA
Auxiliar de limpieza. ref. sxsdl.,Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid,2025-04-04,abril,Sin estudios
"Conductores-operadores de maquinaria forestal con motor, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Informático-a,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Técnicos de información turística,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Teleoperadores,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Empleados de venta de cupones, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Analista programador-a abap, 100% en remoto",España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA,2025-04-04,abril,Sin estudios
Agentes de seguros,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Instaladores-ajustadores de instalaciones de refrigeración y aire acondicionado,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Enfermeros de cuidados generales,Lugo - Galicia - España,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Universidad
Empleados de centros de recreo,Ourense - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Dependientes de artículos de ferretería,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Terapeutas ocupacionales,Ourense - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Mecánicos-ajustadores del automóvil, en general (turismos y furgonetas)",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Empleados de venta de cupones, en general",Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Técnicos administrativos, en general",A Coruña - Galicia - España,04/04/2025,Sin especificar,Primera etapa de educación secundaria…,,NA,NA,NA,SI,Galicia,2025-04-04,abril,NA
Vigilantes de seguridad,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Asistentes domiciliarios,A Coruña - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Empleados de venta de cupones, en general",Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Empleados de venta de cupones, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Azafata-o estanco vilanova i la geltru 2100€,Barcelona - Cataluña - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Cataluna,2025-04-04,abril,Básico
"Técnicos administrativos, en general",A Coruña - Galicia - España,04/04/2025,Sin especificar,Primera etapa de educación secundaria…,,NA,NA,NA,SI,Galicia,2025-04-04,abril,NA
Taquilleros,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Empleados de venta de cupones, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Logopedas,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Educadores de menores,Lugo - Galicia - España,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Universidad
Conductor de tractor con remolque,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Camarero-a centro hospitalario,Madrid - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Madrid,2025-04-04,abril,Básico
"Empleados de venta de cupones, en general",Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Camareros, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Empleados de venta de cupones, en general",Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Fisioterapeutas, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Camareros, en general",Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Ayudante-a de cocina,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Turno mañana captador-a cruz roja 1.100€,Madrid - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Madrid,2025-04-04,abril,Básico
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",A Coruña - Galicia - España,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Universidad
"Empleados de venta de cupones, en general",Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
"Camareros, en general",Pontevedra - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Técnicos en control de calidad en industrias alimentarias,Lugo - Galicia - España,04/04/2025,Sin especificar,Primera etapa de educación secundaria…,,NA,NA,NA,SI,Galicia,2025-04-04,abril,NA
"Mecánicos-ajustadores de camiones y autobuses, en general",Ourense - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Enfermeros de cuidados generales,Pontevedra - Galicia - España,04/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Universidad
Agentes comerciales,Lugo - Galicia - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-04,abril,Otros
Administrativo-a,Caceres - Extremadura - España,04/04/2025,Sin especificar,Doctorado universitario.,,NA,NA,NA,SI,Extremadura,2025-04-04,abril,Doctorado
Administrativo-a,Granada - Andalucia - España,04/04/2025,1.950,Enseñanzas de grado superior de…,1950,1950,NA,23,SI,Andalucia,2025-04-04,abril,FP/Bachiller
Repartidor-a de pizzas zona santander,Cantabria - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Cantabria,2025-04-04,abril,Básico
Repartidor-a de pizzas zona burgos,Burgos - Castilla Leon - España,04/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Castilla Leon,2025-04-04,abril,Básico
Carpintero metálico oficial 1ª con al menos 4 años de experiencia,Caceres - Extremadura - España,04/04/2025,Sin especificar,Enseñanzas universitarias de 1 er y 2º…,,NA,NA,NA,SI,Extremadura,2025-04-04,abril,Universidad
Logopeda centro atención temprana reinosa,Madrid - España,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-04,abril,Otros
