Título,SalarioPromedio,España,CCAA,Mes,Nivel,Modalidad
"Soldador de mig-mag y tig, alemania",21,SI,Galicia,abril,Universidad,Presencial
Tecnico auxiliar de presupuestos tecnicos-ofertas,16,SI,Galicia,abril,FP/Bachiller,Presencial
Peon de obra palma de mallorca,27,SI,Galicia,abril,Otros,Presencial
Auxiliar de enfermería - gerocultor-a con discapacidad - oliana,19,SI,Andalucia,abril,Básico,Presencial
Auxiliar administrativo,27,SI,Galicia,abril,Otros,Presencial
Programa desarrollo comercial futuros delegados málaga,27,SI,Galicia,abril,Otros,Presencial
"Mecánico-a 1ª, 2ª o 3ª maquinaria - ciempozuelos",16,SI,Galicia,abril,FP/Bachiller,Presencial
Pintor de coches,27,SI,Galicia,abril,Otros,Presencial
Necesario médico en valdestillas,27,SI,Galicia,abril,Otros,Presencial
Peón albañil,27,SI,Asturias,abril,Otros,Presencial
Técnico en control de plagas y legionella,16,SI,Comunidad Valenciana,abril,NA,Presencial
Se buscan monitores-as escolares,27,SI,Andalucia,abril,NA,Presencial
Personal multiservicios,32,SI,Cataluna,abril,Sin estudios,Presencial
Monitor-a para personas con discapacidad,21,SI,Comunidad Valenciana,abril,Universidad,Presencial
"Personal de limpieza en locales y oficinas, patios y cristales. en madrid y extrarradio ( alcorcon,…",16,SI,Comunidad Valenciana,abril,FP/Bachiller,Presencial
"Editor video, con inglés y dominio de internet",35,SI,Galicia,abril,Doctorado,Presencial
Early childhood educators for nurseries in ireland,27,SI,Galicia,abril,Otros,Presencial
Chef en dubai,27,SI,Galicia,abril,Otros,Presencial
Tecnico superior en estetica o auxiliar medicina estetica,27,SI,Galicia,abril,Otros,Presencial
Montador de conductos en valladolid,27,SI,Galicia,abril,Otros,Presencial
Carpintero de madera,27,SI,Galicia,abril,Otros,Presencial
Auxiliar administrativos,27,SI,Galicia,abril,Otros,Presencial
Dependiente dependienta camarer@ horno de pan con degustación,27,SI,Galicia,abril,Otros,Presencial
Técnico laboral para asesoría,27,SI,Galicia,abril,Otros,Presencial
Montador de conductos en león,27,SI,Galicia,abril,Otros,Presencial
"Empleados de venta de cupones, en general",27,SI,Galicia,abril,Otros,Presencial
Monitores de educación y tiempo libre,20,SI,Galicia,abril,NA,Presencial
Auxiliar de limpieza. ref. sxsdl.,32,SI,Madrid,abril,Sin estudios,Presencial
"Conductores-operadores de maquinaria forestal con motor, en general",27,SI,Galicia,abril,Otros,Presencial
Informático-a,27,SI,Galicia,abril,Otros,Presencial
Técnicos de información turística,27,SI,Galicia,abril,Otros,Presencial
Teleoperadores,27,SI,Galicia,abril,Otros,Presencial
"Empleados de venta de cupones, en general",27,SI,Galicia,abril,Otros,Presencial
"Analista programador-a abap, 100% en remoto",32,SI,NA,abril,Sin estudios,Remoto
Agentes de seguros,27,SI,Galicia,abril,Otros,Presencial
Instaladores-ajustadores de instalaciones de refrigeración y aire acondicionado,27,SI,Galicia,abril,Otros,Presencial
Enfermeros de cuidados generales,21,SI,Galicia,abril,Universidad,Presencial
Empleados de centros de recreo,27,SI,Galicia,abril,Otros,Presencial
Dependientes de artículos de ferretería,27,SI,Galicia,abril,Otros,Presencial
Terapeutas ocupacionales,27,SI,Galicia,abril,Otros,Presencial
"Mecánicos-ajustadores del automóvil, en general (turismos y furgonetas)",27,SI,Galicia,abril,Otros,Presencial
"Empleados de venta de cupones, en general",27,SI,Galicia,abril,Otros,Presencial
"Técnicos administrativos, en general",20,SI,Galicia,abril,NA,Presencial
Vigilantes de seguridad,27,SI,Galicia,abril,Otros,Presencial
Asistentes domiciliarios,27,SI,Galicia,abril,Otros,Presencial
"Empleados de venta de cupones, en general",27,SI,Galicia,abril,Otros,Presencial
"Empleados de venta de cupones, en general",27,SI,Galicia,abril,Otros,Presencial
Azafata-o estanco vilanova i la geltru 2100€,19,SI,Cataluna,abril,Básico,Presencial
"Técnicos administrativos, en general",20,SI,Galicia,abril,NA,Presencial
Taquilleros,27,SI,Galicia,abril,Otros,Presencial
"Empleados de venta de cupones, en general",27,SI,Galicia,abril,Otros,Presencial
Logopedas,27,SI,Galicia,abril,Otros,Presencial
Educadores de menores,21,SI,Galicia,abril,Universidad,Presencial
Conductor de tractor con remolque,27,SI,Galicia,abril,Otros,Presencial
Camarero-a centro hospitalario,19,SI,Madrid,abril,Básico,Presencial
"Empleados de venta de cupones, en general",27,SI,Galicia,abril,Otros,Presencial
"Camareros, en general",27,SI,Galicia,abril,Otros,Presencial
"Empleados de venta de cupones, en general",27,SI,Galicia,abril,Otros,Presencial
"Fisioterapeutas, en general",27,SI,Galicia,abril,Otros,Presencial
"Camareros, en general",27,SI,Galicia,abril,Otros,Presencial
Ayudante-a de cocina,27,SI,Galicia,abril,Otros,Presencial
Turno mañana captador-a cruz roja 1.100€,19,SI,Madrid,abril,Básico,Presencial
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",21,SI,Galicia,abril,Universidad,Presencial
"Empleados de venta de cupones, en general",27,SI,Galicia,abril,Otros,Presencial
"Camareros, en general",27,SI,Galicia,abril,Otros,Presencial
Técnicos en control de calidad en industrias alimentarias,20,SI,Galicia,abril,NA,Presencial
