Título,SalarioPromedio,España,CCAA,Mes,Nivel,Modalidad
Técnico de soporte de operaciones logísticas,27,NA,NA,abril,Otros,Presencial
Agente de seguros especialista en salud (málaga),27,NA,NA,abril,Otros,Presencial
Técnico-a de recursos humanos,16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
Peon agrario,27,NA,NA,abril,Otros,Presencial
Peluquero-a canino,32,SI,Aragon,abril,Sin estudios,Presencial
Proyección de mortero,32,SI,Madrid,abril,Sin estudios,Presencial
Empleada hogar interna,46,SI,NA,abril,Sin estudios,Presencial
Pintor a pistola,32,SI,Andalucia,abril,Sin estudios,Presencial
Asesor comercial (h-m),16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
Dependiente-repartidor tienda de pinturas zaragoza,27,NA,NA,abril,Otros,Presencial
Jefe ejecutivo de cocina,27,NA,NA,abril,Otros,Presencial
Administrativo recepcionista,27,NA,NA,abril,Otros,Presencial
Vigilante de seguridad,16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
Expendedor estación de servicio,27,NA,NA,abril,Otros,Presencial
Empleado de hogar interno,32,SI,Aragon,abril,Sin estudios,Presencial
Técnico de apoyo,32,SI,Madrid,abril,Sin estudios,Presencial
Carniceros de comercio - dependientes de carnicería (oficial),46,SI,NA,abril,Sin estudios,Presencial
<b>nueva difusión -<-b> 2 puestos docente-instructor competencias digitales (ref.1692),32,SI,Andalucia,abril,Sin estudios,Presencial
Soldador,16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
Auxiliar admnistrativo-a,27,NA,NA,abril,Otros,Presencial
Operario-a de mantenimiento (molina de segura),27,NA,NA,abril,Otros,Presencial
Camarera-o de pisos hoteles centro de sevilla,27,NA,NA,abril,Otros,Presencial
Reposición supermercado 8h semanales,16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
Limpieza centro comercial,27,NA,NA,abril,Otros,Presencial
Operario-a de limpieza ejea de los caballeros sustitución de vacaciones 8 al 22 de abril 2025,32,SI,Aragon,abril,Sin estudios,Presencial
Operario-a de almacén albuixech,32,SI,Madrid,abril,Sin estudios,Presencial
Conserje en albergue nocturno en vic,46,SI,NA,abril,Sin estudios,Presencial
Limpiador-a en cornellà,32,SI,Andalucia,abril,Sin estudios,Presencial
Control d’accessos parking de tardes en barcelona,16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
Work-location,27,NA,NA,abril,Otros,Presencial
Monitor-a centro interpretación santa cilia (sector publico),27,NA,NA,abril,Otros,Presencial
Mecánico-a diesel y de maquinaria de construcción,27,NA,NA,abril,Otros,Presencial
Auxiliar de clinica dental,16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
Auxiliar administrativo,27,NA,NA,abril,Otros,Presencial
Ayte camarero sala,32,SI,Aragon,abril,Sin estudios,Presencial
Auxiliar administrativo-a,32,SI,Madrid,abril,Sin estudios,Presencial
Titulado superior en agronomía,46,SI,NA,abril,Sin estudios,Presencial
Work-location,32,SI,Andalucia,abril,Sin estudios,Presencial
Docente programa experiencial empleo-formación (certificado profesional operaciones aux.…,16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
Monitor-a deportivo-a (ref. 1893),27,NA,NA,abril,Otros,Presencial
Ayte camarero sala,27,NA,NA,abril,Otros,Presencial
Orientadores-as profesionales para la inserción (discapacidad),27,NA,NA,abril,Otros,Presencial
Ayudante de camarero,16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
Work-location,27,NA,NA,abril,Otros,Presencial
Work-location,32,SI,Aragon,abril,Sin estudios,Presencial
Operario para el lavado de vehículos,32,SI,Madrid,abril,Sin estudios,Presencial
Work-location,46,SI,NA,abril,Sin estudios,Presencial
Operario-a de lavadero de vehículos (molina de segura),32,SI,Andalucia,abril,Sin estudios,Presencial
Camarero-a (ref.: 2298),16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
"Dependientes de comercio, en general",27,NA,NA,abril,Otros,Presencial
Técnico en control y vigilancia de obras,27,NA,NA,abril,Otros,Presencial
Work-location,27,NA,NA,abril,Otros,Presencial
Fisioterapeuta,16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
Técnico en prevención de riesgos laborales,27,NA,NA,abril,Otros,Presencial
Peones de la industria metalúrgica y fabricación de productos metálicos,32,SI,Aragon,abril,Sin estudios,Presencial
Work-location,32,SI,Madrid,abril,Sin estudios,Presencial
Cocinero-a,46,SI,NA,abril,Sin estudios,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
"Delineantes, en general",21,SI,Canarias,abril,Universidad,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Educador-a social,35,SI,Madrid,abril,Doctorado,Presencial
Ayudante de cocina (ref.: 2299),27,SI,Asturias,abril,Otros,Presencial
Gerocultor-a,27,SI,Castilla Leon,abril,Otros,Presencial
"Jardineros, en general",16,SI,Andalucia,abril,FP/Bachiller,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Arquitectos técnicos,21,SI,Andalucia,abril,Universidad,Presencial
Chef especialista de comida hindú.,27,SI,Madrid,abril,Otros,Presencial
Técnico-a asesor-a juridico-a (ref. 042025001892),27,SI,Baleares,abril,Otros,Presencial
"Psicólogos, en general",27,SI,Canarias,abril,Otros,Presencial
Auxiliar de enfermería de geriatría,16,SI,Madrid,abril,FP/Bachiller,Presencial
Asesores jurídicos (sector privado),21,SI,Andalucia,abril,Universidad,Presencial
Mantenedores de edificios,27,SI,Andalucia,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Cuidadores de personas con discapacidad intelectual,27,SI,Aragon,abril,Otros,Presencial
Auxiliar administrativo,27,SI,Madrid,abril,Otros,Presencial
Oferta en mula de guía turístico (2388),27,SI,Murcia,abril,Otros,Presencial
Técnico superior de administración general en recursos humanos,27,SI,Pais Vasco,abril,Otros,Presencial
Mantenedores de edificios,16,SI,Andalucia,abril,FP/Bachiller,Presencial
Técnico-a en emprendimiento (ref. 2284),24,SI,Asturias,abril,Otros,Presencial
Camareros de piso (hostelería),27,SI,Canarias,abril,Otros,Presencial
Técnico-a en operaciones de sistemas informáticos (empleo público),16,SI,Aragon,abril,FP/Bachiller,Presencial
Formador-a de formación no reglada ( grupo i). zona de madroñera,27,SI,Extremadura,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Técnico-a laboratorio de análisis clínicos,27,SI,Murcia,abril,Otros,Presencial
Camarera-o,27,SI,Murcia,abril,Otros,Presencial
Técnico-a laboral (ref. 2296),27,SI,Asturias,abril,Otros,Presencial
Electricista,27,SI,La Rioja,abril,Otros,Presencial
Peluqueros unisex,27,SI,Galicia,abril,Otros,Presencial
Cocinero-a - jefe de cocina,27,SI,Aragon,abril,Otros,Presencial
Cocinero-a,27,SI,Aragon,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Fisioterapeuta,27,SI,Pais Vasco,abril,Otros,Presencial
Oficial 1ª o 2ª electricista 042025001889,27,SI,Baleares,abril,Otros,Presencial
Docente programa experiencial empleo-formación (certificado profesional montaje-mantenimiento…,35,SI,Murcia,abril,Doctorado,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Personal de limpieza con discapacidad (ref. 2300),27,SI,Asturias,abril,Otros,Presencial
Formadores de formación para el empleo,27,SI,Galicia,abril,Otros,Presencial
"Pulidores-abrillantadores de suelos, de terrazo y similares",16,SI,Andalucia,abril,FP/Bachiller,Presencial
"Empleados administrativos, en general",27,SI,Andalucia,abril,Otros,Presencial
Ingeniero o ingeniera aplicación metering con discapacidad (igual o superior al 33%),27,SI,Pais Vasco,abril,Otros,Presencial
Ordenanzas,27,SI,Aragon,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Personal para el montaje y desmontaje de conciertos y festivales,27,SI,Pais Vasco,abril,Otros,Presencial
2 ayudantes de cocina (ref:2294),27,SI,Asturias,abril,Otros,Presencial
Formadores de formación no reglada,27,SI,Cataluna,abril,Otros,Presencial
Ayudante cocina,27,SI,Asturias,abril,Otros,Presencial
Conductor-a-vendedor-a de furgón de helados (ref.: 2297),27,SI,Galicia,abril,Otros,Presencial
Albañiles,16,SI,Andalucia,abril,FP/Bachiller,Presencial
Informador-a turístico,27,SI,Andalucia,abril,Otros,Presencial
Docente de fontanería para centro penitenciario campos del río (ref. 2394),27,SI,Pais Vasco,abril,Otros,Presencial
Oferta 2432 limpiador-a,27,SI,Aragon,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Docente programa experiencial empleo-formación (certificad profesional operaciones…,27,SI,Pais Vasco,abril,Otros,Presencial
Diseñador-a gráfico-a multimedia,27,SI,Asturias,abril,Otros,Presencial
Vendedor-a-repartidor-a,27,SI,Cataluna,abril,Otros,Presencial
Técnico-a de apoyo en procesos sociolaborales,27,SI,Asturias,abril,Otros,Presencial
Work-location,27,SI,Galicia,abril,Otros,Presencial
Ayte camarero sala,16,SI,Andalucia,abril,FP/Bachiller,Presencial
Ayte camarero sala,27,SI,Andalucia,abril,Otros,Presencial
Nutricionista,27,SI,Pais Vasco,abril,Otros,Presencial
Work-location,27,SI,Aragon,abril,Otros,Presencial
Conductor de camión o trailer,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Pais Vasco,abril,Otros,Presencial
Work-location,27,SI,Asturias,abril,Otros,Presencial
Carniceros para la venta en comercio,27,SI,Cataluna,abril,Otros,Presencial
Formador-a especialidades formativas area profesional logistica y transporte (ref. 2281),27,SI,Asturias,abril,Otros,Presencial
Arquitectos técnicos,27,SI,Galicia,abril,Otros,Presencial
Work-location,16,SI,Andalucia,abril,FP/Bachiller,Presencial
Terapeutas ocupacionales,27,SI,Andalucia,abril,Otros,Presencial
Oficial 1ª alicatador-a (ref: 042025001888),27,SI,Pais Vasco,abril,Otros,Presencial
"Técnicos administrativos, en general",27,SI,Aragon,abril,Otros,Presencial
Jefes de equipo de taller de vehículos,27,SI,Cataluna,abril,Otros,Presencial
1 controlador-a de accesos,27,SI,Pais Vasco,abril,Otros,Presencial
Albañil oficial 1ª,27,SI,Asturias,abril,Otros,Presencial
"Camareros, en general",27,SI,Cataluna,abril,Otros,Presencial
Dependiente-a,27,SI,Asturias,abril,Otros,Presencial
"Instaladores electricistas, en general",27,SI,Galicia,abril,Otros,Presencial
Docente recuperacion puntos o permiso o licencia de conduccion,16,SI,Andalucia,abril,FP/Bachiller,Presencial
Conductor autobus,27,SI,Andalucia,abril,Otros,Presencial
"Carpinteros de aluminio, metálico y pvc",27,SI,Pais Vasco,abril,Otros,Presencial
Work-location,27,SI,Aragon,abril,Otros,Presencial
Vigilantes de seguridad,27,SI,Cataluna,abril,Otros,Presencial
Teleoperador@ con discapacidad para tramitación de citas. alcobendas.,27,SI,Pais Vasco,abril,Otros,Presencial
Auxiliar administrativo-a (ref.:2293),27,SI,Asturias,abril,Otros,Presencial
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",27,SI,Cataluna,abril,Otros,Presencial
"Fisioterapeutas, en general",27,SI,Asturias,abril,Otros,Presencial
Cocineros-as en general.,27,SI,Galicia,abril,Otros,Presencial
Administrativo-a (ref. 2292),16,SI,Andalucia,abril,FP/Bachiller,Presencial
Inspector médico en bilbao. vacante. 3 puestos. pl3 y superación de prueba,27,SI,Andalucia,abril,Otros,Presencial
"Camareros, en general",27,SI,Pais Vasco,abril,Otros,Presencial
Work-location,27,SI,Aragon,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Pais Vasco,abril,Otros,Presencial
Auxiliar de enfermería,27,SI,Asturias,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Oficial de mantemiento,27,SI,Asturias,abril,Otros,Presencial
Enfermeros de cuidados generales,27,SI,Galicia,abril,Otros,Presencial
Raseador-a,16,SI,Andalucia,abril,FP/Bachiller,Presencial
2 cocineros para el sepad en plasencia,27,SI,Andalucia,abril,Otros,Presencial
Work-location,27,SI,Pais Vasco,abril,Otros,Presencial
"Cocineros, en general",27,SI,Aragon,abril,Otros,Presencial
Camarero-a (ref.2288),27,SI,Cataluna,abril,Otros,Presencial
Auxiliares de enfermería,27,SI,Pais Vasco,abril,Otros,Presencial
Enfermero-a,27,SI,Asturias,abril,Otros,Presencial
Directores de servicios sociales para personas mayores,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Asturias,abril,Otros,Presencial
Gerocul@r,27,SI,Galicia,abril,Otros,Presencial
Pintor-a de camiones oficial 3ª(ref.: 2280),16,SI,Andalucia,abril,FP/Bachiller,Presencial
Ayudante de cocina (ref.: 2290),27,SI,Andalucia,abril,Otros,Presencial
Personal de limpieza o limpiadores en general,27,SI,Pais Vasco,abril,Otros,Presencial
Inspector médico en arrasate. sust. it. pl3 superacion prueba,27,SI,Aragon,abril,Otros,Presencial
Administrativa-o atencion al cliente,27,SI,Cataluna,abril,Otros,Presencial
Audioprotesista (ref.2289),27,SI,Pais Vasco,abril,Otros,Presencial
Formador-a de formación no reglada,27,SI,Asturias,abril,Otros,Presencial
Herrero-a forjador. oficial de 1ª.,27,SI,Cataluna,abril,Otros,Presencial
Camareros de barra y terraza,27,SI,Asturias,abril,Otros,Presencial
Profesores técnicos de formación profesional (fabricación mecánica),27,SI,Galicia,abril,Otros,Presencial
Oferta de técnico administrativo en soria,16,SI,Andalucia,abril,FP/Bachiller,Presencial
"Conductores de camión, en general",27,SI,Andalucia,abril,Otros,Presencial
Técnico de calidad,27,SI,Pais Vasco,abril,Otros,Presencial
Camarero-a,27,SI,Aragon,abril,Otros,Presencial
Limpiador-a con discapacidad en murcia,27,SI,Cataluna,abril,Otros,Presencial
Dependientes de recambios y accesorios,27,SI,Pais Vasco,abril,Otros,Presencial
Carretillero-a (ref.: 2295),27,SI,Asturias,abril,Otros,Presencial
Agentes comerciales,27,SI,Cataluna,abril,Otros,Presencial
"Mecánicos reparadores de maquinaria agrícola, en general",27,SI,Asturias,abril,Otros,Presencial
Work-location,27,SI,Galicia,abril,Otros,Presencial
Work-location,16,SI,Andalucia,abril,FP/Bachiller,Presencial
"Conductores de camión, en general",27,SI,Andalucia,abril,Otros,Presencial
Terapeutas ocupacionales,27,SI,Pais Vasco,abril,Otros,Presencial
Inspector médico en barakaldo. vacante. pl3 y superación de prueba,27,SI,Aragon,abril,Otros,Presencial
Psicólogo-a,27,SI,Cataluna,abril,Otros,Presencial
Profesor de frances,27,SI,Pais Vasco,abril,Otros,Presencial
Mozo de almacén (ref. 2291),27,SI,Asturias,abril,Otros,Presencial
Albañiles (oficial de 1ª o 2ª),27,SI,Cataluna,abril,Otros,Presencial
2 peones forestales (ref.: 1446),27,SI,Asturias,abril,Otros,Presencial
Calderero,27,SI,Galicia,abril,Otros,Presencial
Albañiles (peón),16,SI,Andalucia,abril,FP/Bachiller,Presencial
Operario-a industria alimentación,27,SI,Andalucia,abril,Otros,Presencial
Conductor-a de camión,27,SI,Pais Vasco,abril,Otros,Presencial
Oferta camarero-a para restaurante torrejón de ardoz.,27,SI,Aragon,abril,Otros,Presencial
Tornero,27,SI,Cataluna,abril,Otros,Presencial
Jefe de obra (aquitecto-a técnico) en villalobón (palencia),27,SI,Pais Vasco,abril,Otros,Presencial
Auxiliares de enfermería,27,SI,Asturias,abril,Otros,Presencial
Podadores y-o motoserristas forestales,27,SI,Cataluna,abril,Otros,Presencial
Enfermeros de cuidados generales,27,SI,Asturias,abril,Otros,Presencial
Limpiador-a centro sanitario lalin,27,SI,Galicia,abril,Otros,Presencial
Operario-a de envasado en fábrica (molina de segura),16,SI,Andalucia,abril,FP/Bachiller,Presencial
Limpieza y mantenimiento de marquesinas,27,SI,Andalucia,abril,Otros,Presencial
Peones agricolas (poda viñedos y plantación almendros),27,SI,Pais Vasco,abril,Otros,Presencial
Dependiente-a de panadería <b>en oviedo<-b> (ref. 2244),27,SI,Aragon,abril,Otros,Presencial
"Analista programador cobol - cirbe, madrid",27,SI,Cataluna,abril,Otros,Presencial
"Electronic workplace l2 client support, madrid",27,SI,Pais Vasco,abril,Otros,Presencial
Ayudante de cocina,27,SI,Asturias,abril,Otros,Presencial
Personal de manteniment per esparreguera,27,SI,Cataluna,abril,Otros,Presencial
Mecánicos de maquinaria agricola,27,SI,Asturias,abril,Otros,Presencial
"Desarrollador de aplicaciones, 100% en remoto",27,SI,Galicia,abril,Otros,Remoto
"Camunda bpm business analyst, noord-holland",16,SI,Andalucia,abril,FP/Bachiller,Presencial
"Functional data analyst, madrid",27,SI,Andalucia,abril,Otros,Presencial
"Lead appian developer, hessen",27,SI,Pais Vasco,abril,Otros,Presencial
"Platform engineer dbm, groningen",27,SI,Aragon,abril,Otros,Presencial
"Desarrollador .net (remoto - seguros), 100% en remoto",27,SI,Cataluna,abril,Otros,Remoto
"Técnico de marketing y comunicación, barcelona",27,SI,Pais Vasco,abril,Otros,Presencial
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",27,SI,Asturias,abril,Otros,Presencial
Montador electromecánico en tres cantos,27,SI,Madrid,abril,Otros,Presencial
"Senior software engineer, barcelona",27,SI,Cataluna,abril,Otros,Presencial
"Junior aml analyst, repubblika ta' malta",27,SI,Pais Vasco,abril,Otros,Presencial
"Ingeniero automatismos, sevilla",27,SI,Andalucia,abril,Otros,Presencial
"Senior sas statistical programmer, barcelona",27,SI,Cataluna,abril,Otros,Presencial
Instalador de equipos de climatización y refrigeración,27,SI,Aragon,abril,Otros,Presencial
"Volte-r4 testing resources, rheinland-pfalz",27,NA,NA,abril,Otros,Presencial
"Cpq consultants, noord-holland",27,NA,NA,abril,Otros,Presencial
"Integration software engineer, gotlands län",27,NA,NA,abril,Otros,Presencial
Técnico-a de mantenimieto,27,SI,Murcia,abril,Otros,Presencial
"Developer windfall fx, rzeczpospolita polska",27,NA,NA,abril,Otros,Presencial
"Technical support analyst, málaga",27,SI,Andalucia,abril,Otros,Presencial
"Senior ctera engineer-l3, noord-brabant",27,NA,NA,abril,Otros,Presencial
"Deloitte tech camp training for data, madrid - primer empleo",16,SI,Madrid,abril,FP/Bachiller,Presencial
"Programador-a plc, zaragoza",27,SI,Aragon,abril,Otros,Presencial
"Ingeniero de diseño, gipuzkoa",27,NA,NA,abril,Otros,Presencial
Electricista de mantenimiento y reparación,27,SI,Aragon,abril,Otros,Presencial
Asesor-a fiscal y contable,27,SI,Murcia,abril,Otros,Presencial
"Maestros de educación primaria, en general",19,SI,Castilla Leon,abril,Básico,Presencial
"Cocineros, en general",27,SI,Castilla Leon,abril,Otros,Presencial
Conductores-operadores de grúa torre,27,SI,Castilla Leon,abril,Otros,Presencial
Fontanero-climatizador,27,SI,Aragon,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Arquitectos técnicos,21,SI,Andalucia,abril,Universidad,Presencial
Personal de limpieza,27,SI,Murcia,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
"Formador-docente de certificado de profesionalidad imar0109(instalaciones de climatizacion,…",21,SI,Madrid,abril,Universidad,Presencial
Oficial 3º rotulista.,16,SI,Madrid,abril,FP/Bachiller,Presencial
"Fisioterapeutas, en general",27,SI,Castilla Leon,abril,Otros,Presencial
Auxiliar administrativo,27,SI,Castilla la Mancha,abril,Otros,Presencial
"Conductores de camión, en general",27,SI,Castilla Leon,abril,Otros,Presencial
Dependiente-a alimentación (ref. 1783),27,SI,Asturias,abril,Otros,Presencial
Ebanista,27,SI,Murcia,abril,Otros,Presencial
Formador-a jardinería en alcalá de henares,27,SI,Madrid,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Farmacéutico-a,21,SI,Pais Vasco,abril,Universidad,Presencial
Agentes de desarrollo social,21,SI,Cataluna,abril,Universidad,Presencial
Almacenero,27,SI,Pais Vasco,abril,Otros,Presencial
Enfermeros de cuidados generales,27,SI,Castilla Leon,abril,Otros,Presencial
Técnico-a administrativo,27,SI,Castilla la Mancha,abril,Otros,Presencial
Docente dinamización de actividades de ocio y tiempo libre,27,SI,Madrid,abril,Otros,Presencial
Conductores de furgoneta.,27,SI,Aragon,abril,Otros,Presencial
Camarero de barra - restaurante,27,SI,Extremadura,abril,Otros,Presencial
Mecánic@ ciclomotores y motocicletas,27,SI,Extremadura,abril,Otros,Presencial
Chapista de vehículos,27,SI,Murcia,abril,Otros,Presencial
Contable para gestoria de tamarite,21,SI,Aragon,abril,Universidad,Presencial
Peón-a de la construcción (ref. 2256).,27,SI,Asturias,abril,Otros,Presencial
Auxiliar de enfermería (ref.: 2258),27,SI,Asturias,abril,Otros,Presencial
Operario-a de produccion,27,SI,Pais Vasco,abril,Otros,Presencial
Mecánico-a de mantenimiento,27,SI,Pais Vasco,abril,Otros,Presencial
Camarero-a de pisos hotel 5*(ref. 2260),27,SI,Asturias,abril,Otros,Presencial
Auxiliar centro de día,27,SI,Pais Vasco,abril,Otros,Presencial
Operadores de máquinas envasadoras de aceites y grasas comestibles,27,SI,Andalucia,abril,Otros,Presencial
1 camarero-a - campanario,27,SI,Extremadura,abril,Otros,Presencial
Comercial-dependiente recambios maquinaria agrícola,27,SI,Castilla la Mancha,abril,Otros,Presencial
Psicòleg-oga,35,SI,Cataluna,abril,Doctorado,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Jardinero-a,27,SI,Aragon,abril,Otros,Presencial
Instal.lador-a de vidres de cotxes,21,SI,Cataluna,abril,Universidad,Presencial
"Docente especialidad formativa fcoo03 inserción laboral,sensibilización medioambiental y en la…",27,SI,Baleares,abril,Otros,Presencial
Conductor de trailer c+e,27,SI,Castilla Leon,abril,Otros,Presencial
Cuiner-a,27,SI,Cataluna,abril,Otros,Presencial
Pintores y-o empapeladores,16,SI,Andalucia,abril,FP/Bachiller,Presencial
Podadores y-o motoserristas forestales,27,SI,Castilla Leon,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Auxiliar de enfermería,27,SI,Pais Vasco,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Auxiliar de producción de papel y cartón,27,SI,Murcia,abril,Otros,Presencial
Vigilantes de seguridad,27,SI,Galicia,abril,Otros,Presencial
Comercial - atención al cliente,27,SI,Madrid,abril,Otros,Presencial
Mecánica -o,16,SI,Pais Vasco,abril,FP/Bachiller,Presencial
Farmaceútico-a,21,SI,Pais Vasco,abril,Universidad,Presencial
Formadores de formación para el empleo,27,SI,Castilla Leon,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Aragon,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
"Médicos, medicina general",27,SI,Andalucia,abril,Otros,Presencial
"Electricistas de mantenimiento y reparación, en general",27,SI,Andalucia,abril,Otros,Presencial
Conductor-a de camión rígido,27,SI,Pais Vasco,abril,Otros,Presencial
Limpiador-a con carné de conducir,27,SI,Baleares,abril,Otros,Presencial
"Conserjes, en general",27,SI,Castilla Leon,abril,Otros,Presencial
Técnico-a de recursos humanos con certificado de discapacidad (ref. 04 2025 001878),35,SI,Baleares,abril,Doctorado,Presencial
Camarero-a.,27,SI,Castilla la Mancha,abril,Otros,Presencial
"Cocineros, en general",27,SI,Galicia,abril,Otros,Presencial
Profesor-a de inglés (ref.: 2274),27,SI,Asturias,abril,Otros,Presencial
Técnico-a de especialidad en área jurídica (jurídico-laboral),27,SI,Pais Vasco,abril,Otros,Presencial
Profesionales de la educación ambiental,16,SI,Andalucia,abril,FP/Bachiller,Presencial
1 ayudante de camarero-a,27,SI,Cantabria,abril,Otros,Presencial
Conservadores de museo y galerías de arte,27,SI,Andalucia,abril,Otros,Presencial
Peón albañil,27,SI,Aragon,abril,Otros,Presencial
Calderero-a (ref.: 2270),27,SI,Asturias,abril,Otros,Presencial
Albañiles,27,SI,Galicia,abril,Otros,Presencial
Lacador-a de madera,27,SI,Murcia,abril,Otros,Presencial
Electricistas. oficiales de primera,27,SI,Aragon,abril,Otros,Presencial
"Empleados administrativos de contabilidad, en general",21,SI,Galicia,abril,Universidad,Presencial
Expendedores de combustible,27,SI,Canarias,abril,Otros,Presencial
Personal de limpieza o limpiadores en general,27,SI,Castilla Leon,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Oferta limpiador-mantenedor-a de piscinas para torrejón de ardoz,27,SI,Madrid,abril,Otros,Presencial
Albañiles,27,SI,Galicia,abril,Otros,Presencial
Profesor de apoyo socioeducativo,21,SI,Castilla Leon,abril,Universidad,Presencial
Primeros oficiales de puente de buques mercantes,35,SI,Canarias,abril,Doctorado,Presencial
Aux. administrativo-a de transporte,16,SI,Aragon,abril,FP/Bachiller,Presencial
Técnico-a instaladador-a y de mantenimiento de sistemas de seguridad.,27,SI,Murcia,abril,Otros,Presencial
Planchistas (cafetería o restauración),27,SI,Galicia,abril,Otros,Presencial
Operadores de equipos en estación de emisora de radio y-o televisión,21,SI,Andalucia,abril,Universidad,Presencial
1 ayudante de camarero-a,27,SI,Cantabria,abril,Otros,Presencial
Instaladores electricistas industriales,27,SI,Galicia,abril,Otros,Presencial
Profesor-a de autoescuela,27,SI,Extremadura,abril,Otros,Presencial
Ayudante de dependiente (2363),27,SI,Murcia,abril,Otros,Presencial
Pinches de cocina,27,SI,Galicia,abril,Otros,Presencial
Jefes de cocina (hostelería),16,SI,Andalucia,abril,FP/Bachiller,Presencial
Soldador-a (ref.: 2269),27,SI,Asturias,abril,Otros,Presencial
Adjunto-a a dirección contable y financiera,27,SI,Murcia,abril,Otros,Presencial
Personal de limpieza o limpiadores en general,27,SI,Galicia,abril,Otros,Presencial
Albañiles,27,SI,Andalucia,abril,Otros,Presencial
Ayudante de cocina,27,SI,Extremadura,abril,Otros,Presencial
Escayolista. escayola arabe.,27,SI,Madrid,abril,Otros,Presencial
Formadores de formación no reglada,16,SI,Galicia,abril,FP/Bachiller,Presencial
Perito-a electricista (ref.:2273),27,SI,Asturias,abril,Otros,Presencial
"Cocineros, en general",27,SI,Galicia,abril,Otros,Presencial
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",27,SI,Castilla Leon,abril,Otros,Presencial
"Responsable de departamento técnico, para empresa de inslación de sistemas de seguridad.",27,SI,Murcia,abril,Otros,Presencial
Auxiliares de enfermería,27,SI,Andalucia,abril,Otros,Presencial
Montadores de toldos,27,SI,Andalucia,abril,Otros,Presencial
Limpiador-a,27,SI,Murcia,abril,Otros,Presencial
Monitores de tiempo libre -fuentes de ebro- (empleo público),27,SI,Aragon,abril,Otros,Presencial
"Conductores de furgoneta, hasta 3,5 t.",16,SI,Andalucia,abril,FP/Bachiller,Presencial
Técnico-a contable (titulación universitaria),27,SI,Baleares,abril,Otros,Presencial
Encofradores,27,SI,Galicia,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Limpiador-a (ref.:2266),27,SI,Asturias,abril,Otros,Presencial
Empleoado-a de hoigar interno-a,27,SI,Pais Vasco,abril,Otros,Presencial
